company,job,location,money
广州百伦供应链科技有限公司,Python 高级开发工程师,广州-天河区,1.2-1.5万/月
四川泰立智汇科技有限公司,Python开发工程师,成都-青羊区,0.8-1.5万/月
广州云杼服装科技有限公司,后端开发工程师（Python方向）,广州-海珠区,1.5-2.5万/月
南京中孚信息技术有限公司,Python开发工程师,南京-浦口区,0.7-1.5万/月
车音智能科技有限公司,python自然语言处理工程师,上海,1-2万/月
携程旅行网深圳分公司,Python开发J15588,深圳-福田区,1.5-2万/月
杭州酷创教育科技有限公司,Python讲师,异地招聘,6-8千/月
全美测评软件系统（北京）有限公司,python开发工程师,上海-浦东新区,0.7-1万/月
武汉邻盛智能设备有限公司,python开发工程师,武汉-汉阳区,0.5-1万/月
重庆卓睿信息技术有限公司,Python开发助理/实习生  双休,异地招聘,4.5-6千/月
河南省中思科技有限公司,Python开发工程师,郑州-郑东新区,6-8千/月
上海宝尊电子商务有限公司,高级开发工程师（python爬虫）,上海-静安区,1.4-2.6万/月
大连中源卓志信息技术有限公司,Python工程师助理应届可实习周末双休五险一金,大连-高新园区,4-6千/月
深圳合纵能源技术有限公司,Python开发工程师,深圳,1-1.8万/月
郑州三友软件科技有限公司,Python开发工程师,济南,6-8千/月
郑州金科软件科技有限公司,Python数据分析助理（应届生）,郑州-经开区,4.5-6千/月
霍尔果斯旗发信息技术有限公司上海...,Python爬虫开发工程师,上海-杨浦区,1.5-3万/月
深圳生理科技有限公司,Python高级开发工程师,深圳-南山区,1-1.5万/月
南京擎盾信息科技有限公司,Python开发工程师,南京-雨花台区,1-1.5万/月
魔方元科技,高级PHP开发工程师（需懂些Python）,上海,1.5-2.5万/月
珠海爱墨科技有限公司,Python开发员,珠海,0.7-1万/月
深圳市天彦通信股份有限公司,Python开发工程师,深圳-南山区,1-1.5万/月
北京傲盾软件有限责任公司,Python/Golang/Linux C/中高级研发工程师,北京-海淀区,0.6-1.2万/月
北京雷石公司,Python工程师,北京-朝阳区,1-2万/月
广州市货牛牛科技有限公司,Python高级开发工程师,广州-番禺区,0.8-1.5万/月
成都智汇安新科技有限公司,Python后台工程师,成都-高新区,0.8-1.2万/月
成都捷云智慧科技有限公司,Python开发工程师,成都,0.6-1.2万/月
深圳市编玩边学教育科技有限公司,Python编程老师（武汉）,武汉,0.8-1.5万/月
广州光娱信息科技有限公司,游戏运维工程师-python,广州-天河区,1-1.5万/月
上海哎媲媲网络技术有限公司,Python开发工程师,成都-武侯区,0.6-1.2万/月
杭州锐翌基因技术有限公司,Python开发工程师,杭州,0.8-1.2万/月
糖小护健康科技（上海）有限公司,资深Python后端开发/架构师,上海-黄浦区,2-3.5万/月
安骑科技有限公司,后台研发（python方向）,上海-徐汇区,1-1.8万/月
无锡威泰朗信息技术有限公司,Python开发工程师,无锡-梁溪区,0.8-1万/月
昆明微想智森科技股份有限公司,Web后端开发工程师（PHP或Python程序员）,昆明-五华区,6-9千/月
雷技信息科技（上海）有限公司南京...,Python开发工程师,南京-建邺区,1.5-2万/月
